type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,04309P,聯電元大18售27,TW22Z04309P0,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04310P,台積電元大18售34,TW22Z04310P8,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04311P,宏達電元大19售01,TW22Z04311P6,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04312P,華航元大1B售03,TW22Z04312P4,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04313P,群創元大18售09,TW22Z04313P2,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04314P,敦泰元大1A售02,TW22Z04314P0,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04315P,臺股指元大18售11,TW22Z04315P7,2022/02/18,上市,,RWICPE
上市認購(售)權證,043160,台積電國票17購01,TW21Z0431605,2021/08/25,上市,,RWSCCA
上市認購(售)權證,04316P,臺股指元大18售12,TW22Z04316P5,2022/02/18,上市,,RWICPE
上市認購(售)權證,04317P,臺股指元大18售13,TW22Z04317P3,2022/02/18,上市,,RWICPE
上市認購(售)權證,04318P,T50正2群益18售03,TW22Z04318P1,2022/02/18,上市,,RWBCPE
上市認購(售)權證,04319P,聯電群益1A售08,TW22Z04319P9,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04320P,台達電群益18售03,TW22Z04320P7,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04321P,國巨群益18售12,TW22Z04321P5,2022/02/18,上市,,RWSCPE
上市認購(售)權證,043226,聯電第一28購01,TW21Z0432264,2021/08/26,上市,,RWSCCA
上市認購(售)權證,04322P,台積電群益19售14,TW22Z04322P3,2022/02/18,上市,,RWSCPE
上市認購(售)權證,043239,聯發科凱基18購01,TW21Z0432397,2021/08/26,上市,,RWSCCA
上市認購(售)權證,04323P,長榮群益19售11,TW22Z04323P1,2022/02/18,上市,,RWSCPE
上市認購(售)權證,043240,聯發科凱基18購02,TW21Z0432405,2021/08/26,上市,,RWSCCA
上市認購(售)權證,04324P,長榮航群益18售07,TW22Z04324P9,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04325P,景碩群益19售03,TW22Z04325P6,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04326P,愛普群益18售06,TW22Z04326P4,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04327P,南電群益19售04,TW22Z04327P2,2022/02/18,上市,,RWSCPE
上市認購(售)權證,04328P,電子類群益18售02,TW22Z04328P0,2022/02/18,上市,,RWICPE
上市認購(售)權證,04329P,電子類群益18售03,TW22Z04329P8,2022/02/18,上市,,RWICPE
上市認購(售)權證,04330P,臺股指法興18售04,TW22Z04330P6,2022/02/18,上市,,RWICPE
上市認購(售)權證,04331P,臺股指法興18售05,TW22Z04331P4,2022/02/18,上市,,RWICPE
上市認購(售)權證,04332P,臺股指法興18售06,TW22Z04332P2,2022/02/18,上市,,RWICPE
上市認購(售)權證,04333P,華航中信18售05,TW22Z04333P0,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04334P,欣興中信18售04,TW22Z04334P8,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04335P,金像電群益18售03,TW22Z04335P5,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04336P,萬海群益18售09,TW22Z04336P3,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04337P,晶豪科群益18售02,TW22Z04337P1,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04338P,玉晶光群益1A售01,TW22Z04338P9,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04339P,台勝科群益18售03,TW22Z04339P7,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04340P,威鋒電群益19售05,TW22Z04340P5,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04341P,辛耘凱基18售03,TW22Z04341P3,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04342P,SGBR2X國票18售02,TW22Z04342P1,2022/02/21,上市,,RWBCPE
上市認購(售)權證,04343P,光罩國票19售03,TW22Z04343P9,2022/02/21,上市,,RWSCPE
上市認購(售)權證,043441,聯電元大18購02,TW21Z0434419,2021/08/27,上市,,RWSCCA
上市認購(售)權證,04344P,長榮元富18售11,TW22Z04344P7,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04345P,華航元富18售06,TW22Z04345P4,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04346P,華航元富1B售05,TW22Z04346P2,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04347P,祥碩元富18售01,TW22Z04347P0,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04348P,台積電元大18售36,TW22Z04348P8,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04349P,台積電元大18售37,TW22Z04349P6,2022/02/21,上市,,RWSCPE
上市認購(售)權證,043506,台積電第一28購02,TW21Z0435069,2021/08/30,上市,,RWSCCA
上市認購(售)權證,04350P,景碩元大18售11,TW22Z04350P4,2022/02/21,上市,,RWSCPE
上市認購(售)權證,04351P,台灣50富邦18售02,TW22Z04351P2,2022/02/21,上市,,RWBCPE
上市認購(售)權證,04352P,T50正2富邦1C售01,TW22Z04352P0,2022/02/21,上市,,RWBCPE
上市認購(售)權證,04353P,旺宏康和18售02,TW22Z04353P8,2022/02/22,上市,,RWSCPE
