Attributes,High,Low,Open,Close,Volume,Adj Close
Symbols,6451.TW,6451.TW,6451.TW,6451.TW,6451.TW,6451.TW
Date,,,,,,
2015-01-26,175.0,155.0,155.0,160.0,9504000.0,126.58124542236328
2015-01-27,164.5,159.0,160.0,163.5,3541000.0,129.3502197265625
2015-01-28,166.5,162.0,162.0,166.0,1861000.0,131.3280487060547
2015-01-29,166.5,163.0,166.0,166.0,1161000.0,131.3280487060547
2015-01-30,169.0,165.0,168.5,165.0,1451000.0,130.5369110107422
2015-02-02,165.5,156.5,165.0,158.5,1740000.0,125.39454650878906
2015-02-03,168.0,158.5,159.5,166.0,1925000.0,131.3280487060547
2015-02-04,171.5,164.0,168.5,168.5,2463000.0,133.3058624267578
2015-02-05,180.0,168.5,170.0,177.0,2532000.0,140.03050231933594
2015-02-06,180.0,175.0,177.0,176.5,1350000.0,139.63494873046875
2015-02-09,179.0,174.0,176.0,174.5,1041000.0,138.0526580810547
2015-02-10,176.5,171.0,175.0,171.0,833000.0,135.28370666503906
2015-02-11,175.0,171.5,173.0,173.0,618000.0,136.865966796875
2015-02-12,174.0,170.5,174.0,171.0,463000.0,135.28370666503906
2015-02-13,172.5,168.5,171.0,170.0,823000.0,134.49256896972656
2015-02-24,175.0,171.0,174.5,173.0,544000.0,136.865966796875
2015-02-25,180.5,172.0,173.5,180.0,1052000.0,142.40391540527344
2015-02-26,185.0,179.0,180.0,182.0,1182000.0,143.98617553710938
2015-03-02,184.0,179.0,184.0,179.5,569000.0,142.00833129882812
2015-03-03,183.0,177.0,179.5,179.5,732000.0,142.00833129882812
2015-03-04,181.0,178.0,178.0,179.5,297000.0,142.00833129882812
2015-03-05,187.0,178.0,179.0,187.0,843000.0,147.94183349609375
2015-03-06,186.0,183.0,186.0,183.0,509000.0,144.7772979736328
2015-03-09,188.0,182.5,183.0,183.5,769000.0,145.17288208007812
2015-03-10,185.0,180.0,183.5,181.0,600000.0,143.19503784179688
2015-03-11,181.0,177.5,180.0,180.0,472000.0,142.40391540527344
2015-03-12,182.5,176.0,178.0,177.5,609000.0,140.42608642578125
2015-03-13,180.5,176.0,178.5,177.5,465000.0,140.42608642578125
2015-03-16,179.5,174.0,178.0,178.0,552000.0,140.82164001464844
2015-03-17,184.0,178.0,178.0,180.0,802000.0,142.40391540527344
2015-03-18,181.5,178.0,180.0,179.0,320000.0,141.61277770996094
2015-03-19,183.0,179.5,182.5,181.5,466000.0,143.59060668945312
2015-03-20,183.0,179.0,181.5,180.0,454000.0,142.40391540527344
2015-03-23,180.0,176.0,180.0,176.0,519000.0,139.2393798828125
2015-03-24,178.5,175.0,175.0,175.5,339000.0,138.8437957763672
2015-03-25,176.5,169.0,176.5,169.5,659000.0,134.09701538085938
2015-03-26,172.5,166.5,167.0,172.0,347000.0,136.07484436035156
2015-03-27,176.0,172.0,176.0,174.0,423000.0,137.65713500976562
2015-03-30,175.5,168.0,174.5,170.0,337000.0,134.49256896972656
