Attributes,High,Low,Open,Close,Volume,Adj Close
Symbols,1423.TW,1423.TW,1423.TW,1423.TW,1423.TW,1423.TW
Date,,,,,,
2008-01-02,11.737500190734863,11.337499618530273,11.737500190734863,11.375,950400.0,10.752565383911133
2008-01-03,11.199999809265137,10.862500190734863,11.0,11.199999809265137,617600.0,10.587141036987305
2008-01-04,11.375,11.0625,11.0625,11.225000381469727,512000.0,10.610773086547852
2008-01-07,11.25,10.899999618530273,10.962499618530273,10.912500381469727,620000.0,10.315373420715332
2008-01-08,11.212499618530273,10.912500381469727,10.9375,11.125,428000.0,10.516244888305664
2008-01-09,11.100000381469727,10.8125,10.875,11.0625,472000.0,10.457164764404297
2008-01-10,11.125,11.0,11.125,11.012499809265137,675200.0,10.409900665283203
2008-01-11,11.337499618530273,11.037500381469727,11.25,11.100000381469727,895200.0,10.492612838745117
2008-01-14,11.600000381469727,11.25,11.324999809265137,11.587499618530273,888000.0,10.953436851501465
2008-01-15,12.337499618530273,11.5625,11.712499618530273,12.3125,1446400.0,11.638765335083008
2008-01-16,13.0625,12.5,12.5,12.75,6012800.0,12.052325248718262
2008-01-17,12.875,12.012499809265137,12.875,12.012499809265137,1213600.0,11.355180740356445
2008-01-18,12.237500190734863,11.5,11.8125,12.162500381469727,969600.0,11.496973991394043
2008-01-21,12.6875,12.162500381469727,12.162500381469727,12.25,966400.0,11.57968521118164
2008-01-22,11.837499618530273,11.399999618530273,11.5,11.399999618530273,713600.0,10.776196479797363
2008-01-23,11.512499809265137,10.612500190734863,11.5,10.612500190734863,842400.0,10.03178882598877
2008-01-24,11.0,10.637499809265137,10.912500381469727,10.712499618530273,476800.0,10.12631607055664
2008-01-25,11.100000381469727,10.824999809265137,10.824999809265137,11.0625,349600.0,10.457164764404297
2008-01-28,11.100000381469727,10.662500381469727,10.987500190734863,10.662500381469727,367200.0,10.079052925109863
2008-01-29,10.8125,10.4375,10.8125,10.537500381469727,344800.0,9.960892677307129
2008-01-30,10.787500381469727,10.524999618530273,10.787500381469727,10.625,364800.0,10.043604850769043
2008-01-31,10.6875,10.5,10.6875,10.550000190734863,202400.0,9.972708702087402
2008-02-01,11.175000190734863,10.625,10.625,10.9375,537600.0,10.339004516601562
2008-02-12,11.375,10.875,10.875,11.287500381469727,410400.0,10.669853210449219
2008-02-13,11.625,11.262499809265137,11.375,11.274999618530273,552000.0,10.658036231994629
2008-02-14,11.537500381469727,11.375,11.5,11.375,301600.0,10.752565383911133
2008-02-15,11.375,11.087499618530273,11.25,11.225000381469727,348800.0,10.610773086547852
2008-02-18,11.362500190734863,10.887499809265137,11.100000381469727,11.25,599200.0,10.634405136108398
2008-02-19,11.487500190734863,11.25,11.25,11.362500190734863,516800.0,10.74074935913086
2008-02-20,11.4375,11.125,11.300000190734863,11.175000190734863,211200.0,10.563508987426758
2008-02-21,11.925000190734863,11.1875,11.1875,11.925000190734863,1276800.0,11.272469520568848
2008-02-22,12.5,11.762499809265137,11.975000381469727,12.5,1859200.0,11.81600570678711
2008-02-25,13.375,12.9375,13.0,13.375,8246400.0,12.643125534057617
2008-02-26,13.875,13.0,13.75,13.1875,4744800.0,12.465886116027832
2008-02-27,13.3125,13.0,13.1875,13.1875,2378400.0,12.465886116027832
2008-02-29,13.375,13.0625,13.125,13.1875,1489600.0,12.465886116027832
2008-03-03,13.125,12.9375,13.0625,13.0,1500800.0,12.28864574432373
2008-03-04,13.8125,13.0,13.125,13.625,5899200.0,12.879446029663086
2008-03-05,13.875,13.5,13.625,13.6875,3366400.0,12.938526153564453
2008-03-06,13.9375,13.1875,13.75,13.1875,2671200.0,12.465886116027832
2008-03-07,13.1875,12.8125,13.125,12.875,1335200.0,12.170485496520996
2008-03-10,13.0625,12.462499618530273,12.875,12.475000381469727,986400.0,11.792373657226562
2008-03-11,12.8125,12.5,12.5,12.75,737600.0,12.052325248718262
2008-03-12,13.4375,13.0,13.0,13.25,3370400.0,12.524965286254883
2008-03-13,13.3125,12.9375,13.125,13.125,1934400.0,12.406805992126465
2008-03-14,13.6875,13.0,13.25,13.5625,4101600.0,12.820365905761719
2008-03-17,13.5625,13.0625,13.5625,13.125,2596800.0,12.406805992126465
2008-03-18,13.4375,12.6875,13.0,13.375,2008000.0,12.643125534057617
2008-03-19,13.4375,12.9375,13.375,12.9375,1904800.0,12.229565620422363
2008-03-20,13.125,12.8125,12.875,13.125,1291200.0,12.406805992126465
2008-03-21,13.25,13.0,13.125,13.1875,1841600.0,12.465886116027832
2008-03-24,14.0625,13.4375,14.0625,13.75,5506400.0,12.99760627746582
2008-03-25,14.4375,13.875,14.0,14.125,11340800.0,13.352086067199707
2008-03-26,14.25,13.875,14.0,14.1875,3932000.0,13.411166191101074
2008-03-27,14.3125,13.875,13.875,14.0,1989600.0,13.233925819396973
2008-03-28,14.125,13.9375,14.0,14.0,1268000.0,13.233925819396973
2008-03-31,14.125,13.75,14.125,13.75,1008800.0,12.99760627746582
2008-04-01,13.9375,13.375,13.8125,13.5,1328800.0,12.761285781860352
2008-04-02,13.75,13.375,13.75,13.4375,1128800.0,12.702205657958984
2008-04-03,13.375,13.1875,13.375,13.1875,778400.0,12.465886116027832
2008-04-07,13.5625,13.1875,13.1875,13.5,676800.0,12.761285781860352
2008-04-08,13.5,13.3125,13.5,13.375,692000.0,12.643125534057617
2008-04-09,13.875,13.3125,13.4375,13.625,1921600.0,12.879446029663086
2008-04-10,13.6875,13.4375,13.6875,13.4375,1044800.0,12.702205657958984
2008-04-11,13.625,13.4375,13.5625,13.625,1336800.0,12.879446029663086
2008-04-14,13.625,13.375,13.5625,13.5,892000.0,12.761285781860352
2008-04-15,13.6875,13.4375,13.625,13.6875,1221600.0,12.938526153564453
2008-04-16,14.1875,13.6875,13.75,14.0,3665600.0,13.233925819396973
2008-04-17,14.25,13.9375,14.1875,14.0,2952800.0,13.233925819396973
2008-04-18,14.0625,13.8125,14.0,13.9375,1685600.0,13.174845695495605
2008-04-21,14.1875,13.8125,14.0625,13.8125,1877600.0,13.056686401367188
2008-04-22,13.875,13.5,13.875,13.625,1304800.0,12.879446029663086
2008-04-23,13.75,13.625,13.625,13.625,938400.0,12.879446029663086
2008-04-24,13.8125,13.625,13.625,13.625,841600.0,12.879446029663086
2008-04-25,13.75,13.4375,13.6875,13.5625,775200.0,12.820365905761719
2008-04-28,13.8125,13.375,13.5625,13.375,2315200.0,12.643125534057617
2008-04-29,13.5625,13.1875,13.375,13.375,1152000.0,12.643125534057617
2008-04-30,13.5,13.0625,13.3125,13.0625,990400.0,12.347725868225098
2008-05-02,13.25,12.875,13.0625,12.9375,916800.0,12.229565620422363
2008-05-05,13.0625,12.625,13.0,12.75,1094400.0,12.052325248718262
2008-05-06,12.75,12.5625,12.5625,12.625,625600.0,11.934165000915527
2008-05-07,12.8125,12.5625,12.625,12.5625,579200.0,11.875085830688477
2008-05-08,12.6875,12.375,12.5,12.5,822400.0,11.81600570678711
2008-05-09,12.75,12.399999618530273,12.75,12.625,924000.0,11.934165000915527
2008-05-12,12.8125,12.625,12.75,12.75,802400.0,12.052325248718262
2008-05-13,12.875,12.75,12.75,12.875,660000.0,12.170485496520996
2008-05-14,12.9375,12.8125,12.875,12.9375,496800.0,12.229565620422363
2008-05-15,13.0,12.875,12.9375,13.0,664800.0,12.28864574432373
2008-05-16,13.0625,12.875,13.0,12.875,476000.0,12.170485496520996
2008-05-19,13.0,12.875,12.9375,13.0,619200.0,12.28864574432373
2008-05-20,13.125,12.875,13.0625,12.9375,1223200.0,12.229565620422363
2008-05-21,13.0,12.875,12.9375,13.0,496800.0,12.28864574432373
2008-05-22,13.125,12.875,12.9375,13.125,1006400.0,12.406805992126465
2008-05-23,14.0,13.625,13.6875,13.875,8408000.0,13.115765571594238
2008-05-26,13.625,12.9375,13.625,12.9375,2738400.0,12.229565620422363
2008-05-27,13.0625,12.625,12.9375,12.9375,780000.0,12.229565620422363
2008-05-28,13.0,12.5,12.9375,12.5,841600.0,11.81600570678711
2008-05-29,12.8125,12.387499809265137,12.625,12.5,880800.0,11.81600570678711
2008-05-30,12.625,12.199999809265137,12.5,12.262499809265137,679200.0,11.591501235961914
2008-06-02,12.425000190734863,12.037500381469727,12.274999618530273,12.262499809265137,349600.0,11.591501235961914
2008-06-03,12.237500190734863,11.887499809265137,12.162500381469727,12.024999618530273,636000.0,11.366996765136719
2008-06-04,12.137499809265137,12.0,12.024999618530273,12.137499809265137,356000.0,11.47334098815918
2008-06-05,12.1875,11.899999618530273,12.024999618530273,12.1875,610400.0,11.520605087280273
2008-06-06,12.262499809265137,12.162500381469727,12.199999809265137,12.1875,420000.0,11.520605087280273
2008-06-09,11.899999618530273,11.387499809265137,11.899999618530273,11.699999809265137,580000.0,11.059781074523926
2008-06-10,11.662500381469727,11.25,11.25,11.324999809265137,488800.0,10.705300331115723
2008-06-11,11.375,11.012499809265137,11.300000190734863,11.024999618530273,563200.0,10.421716690063477
2008-06-12,10.9375,10.262499809265137,10.75,10.4375,1201600.0,9.866364479064941
2008-06-13,10.5,10.25,10.449999809265137,10.4375,732800.0,9.866364479064941
2008-06-16,10.5625,10.412500381469727,10.5625,10.4375,286400.0,9.866364479064941
2008-06-17,10.475000381469727,10.25,10.4375,10.4375,237600.0,9.866364479064941
2008-06-18,10.587499618530273,10.287500381469727,10.375,10.537500381469727,460800.0,9.960892677307129
2008-06-19,10.412500381469727,10.262499809265137,10.337499618530273,10.324999809265137,348000.0,9.76002025604248
2008-06-20,10.449999809265137,10.3125,10.3125,10.375,374400.0,9.807284355163574
2008-06-23,10.375,10.125,10.125,10.375,197600.0,9.807284355163574
2008-06-24,10.375,10.012499809265137,10.25,10.012499809265137,168800.0,9.464620590209961
2008-06-25,10.337499618530273,9.75,9.75,10.337499618530273,260000.0,9.771836280822754
2008-06-26,10.5,10.149999618530273,10.149999618530273,10.399999618530273,211200.0,9.830916404724121
2008-06-27,10.0,9.737500190734863,10.0,9.8125,582400.0,9.275564193725586
2008-06-30,9.887499809265137,9.375,9.8125,9.612500190734863,485600.0,9.086508750915527
2008-07-01,9.725000381469727,8.949999809265137,9.625,8.949999809265137,1053600.0,8.460259437561035
2008-07-02,8.949999809265137,8.5625,8.875,8.875,1104000.0,8.389364242553711
2008-07-03,9.112500190734863,8.625,8.6875,9.087499618530273,586400.0,8.590235710144043
2008-07-04,9.125,8.875,9.087499618530273,8.925000190734863,351200.0,8.436628341674805
2008-07-07,9.100000381469727,8.8125,8.8125,9.037500381469727,263200.0,8.542972564697266
2008-07-08,9.024999618530273,8.75,9.024999618530273,8.912500381469727,438400.0,8.424812316894531
2008-07-09,9.100000381469727,8.75,9.0,8.912500381469727,337600.0,8.424812316894531
2008-07-10,8.949999809265137,8.75,8.762499809265137,8.899999618530273,258400.0,8.412995338439941
2008-07-11,9.024999618530273,8.824999809265137,8.824999809265137,9.0,339200.0,8.507523536682129
2008-07-14,9.0,8.8125,8.9375,8.887499809265137,241600.0,8.401179313659668
2008-07-15,8.824999809265137,8.375,8.824999809265137,8.375,382400.0,7.916723728179932
2008-07-16,8.587499618530273,8.350000381469727,8.387499809265137,8.350000381469727,389600.0,7.893092155456543
2008-07-17,8.587499618530273,8.412500381469727,8.5,8.524999618530273,573600.0,8.058515548706055
2008-07-18,8.675000190734863,8.149999618530273,8.5625,8.237500190734863,831200.0,7.786747932434082
2008-07-21,8.487500190734863,8.25,8.25,8.462499618530273,341600.0,7.9994354248046875
2008-07-22,8.600000381469727,8.387499809265137,8.387499809265137,8.550000190734863,380800.0,8.082147598266602
2008-07-23,9.137499809265137,8.625,8.625,9.137499809265137,1276800.0,8.637499809265137
2008-07-24,8.837499618530273,8.350000381469727,8.75,8.512499809265137,810400.0,8.512499809265137
